RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Ag.Rd Tm) - (Ag. Hm Tm),Unnamed: 13
,Jacyn Goble,CREW,MALE,10,21,0.667,3.4,235.6,43.0,0.505,0.494,0.5,
,Ray Acosta,CREW,MALE,9,20,0.7,5.7,230.1,43.1,0.492,0.508,-0.7,
,JB DeRosa,CHIEF,MALE,9,21,0.476,1.2,234.1,41.4,0.49,0.51,-0.8,
,Pat Fraher,CHIEF,MALE,31,20,0.55,0.4,237.4,45.6,0.511,0.489,1.0,
,Nate Green,CREW,MALE,8,20,0.55,-1.4,238.8,45.1,0.509,0.491,0.8,
,Jason Goldenberg,CREW,MALE,10,20,0.75,7.4,235.0,43.1,0.507,0.493,0.6,
,Sean Corbin,CHIEF,MALE,33,20,0.55,1.1,237.6,41.6,0.501,0.499,0.1,
,Dedric Taylor,CREW,MALE,13,20,0.75,8.4,228.3,42.1,0.527,0.473,2.3,
,Natalie Sago,CREW,FEMALE,8,20,0.35,-3.0,235.9,43.1,0.507,0.492,0.7,
,John Butler,CREW,MALE,8,20,0.6,2.0,228.8,41.2,0.496,0.502,-0.3,
,Marc Davis,CHIEF,MALE,27,19,0.421,-4.4,239.8,40.6,0.515,0.486,1.2,
,Tony Brothers,CHIEF,MALE,32,19,0.632,1.8,225.8,42.3,0.482,0.518,-1.5,
,James Capers,CHIEF,MALE,31,19,0.632,-0.6,237.9,43.4,0.511,0.489,0.9,
,Brandon Schwab,CREW,MALE,5,18,0.444,-0.2,235.1,41.8,0.505,0.494,0.4,
,Andy Nagy,CREW,MALE,7,18,0.611,3.6,238.3,40.8,0.513,0.486,1.1,
,Nick Buchert,CREW,MALE,17,19,0.421,-2.7,238.7,45.4,0.515,0.486,1.3,
,Scott Foster,CHIEF,MALE,32,17,0.235,-3.4,234.9,44.6,0.479,0.521,-1.9,
,Gediminas Petraitis,CREW,MALE,12,17,0.471,-1.8,231.3,39.9,0.498,0.503,-0.2,
,Justin Van Duyne,CREW,MALE,13,17,0.471,-2.8,233.5,40.8,0.5,0.5,0.0,
,Mark Lindsay,CHIEF,MALE,19,16,0.688,2.8,226.5,42.9,0.516,0.485,1.3,
,Courtney Kirkland,CHIEF,MALE,27,16,0.438,-1.2,232.7,41.3,0.516,0.483,1.4,
,Jonathan Sterling,CREW,MALE,9,17,0.706,5.8,234.8,39.4,0.505,0.494,0.4,
,John Goble,CHIEF,MALE,19,17,0.412,-1.8,231.6,40.6,0.501,0.498,0.1,
,Kevin Scott,CREW,MALE,16,16,0.5,2.1,234.1,41.7,0.471,0.529,-2.4,
,Phenizee Ransom,CREW,MALE,10,16,0.438,0.3,237.4,44.2,0.506,0.493,0.6,
,Tyler Ford,CREW,MALE,12,16,0.5,2.4,229.9,42.4,0.516,0.483,1.4,
,Danielle Scott,CREW,FEMALE,0,15,0.467,-5.0,238.3,41.9,0.488,0.512,-1.0,
,Mousa Dagher,CREW,MALE,8,16,0.375,-7.4,233.9,45.1,0.502,0.499,0.1,
,Scott Twardoski,CREW,MALE,17,15,0.467,0.4,228.5,44.5,0.508,0.493,0.7,
,Eric Dalen,CREW,MALE,18,15,0.467,-0.6,225.5,42.3,0.514,0.485,1.2,
,Matt Myers,CREW,MALE,14,15,0.533,4.9,237.0,39.3,0.528,0.472,2.2,
,Sean Wright,CHIEF,MALE,21,15,0.533,3.1,239.6,45.2,0.507,0.493,0.7,
,Suyash Mehta,CREW,MALE,7,14,0.429,0.1,231.7,40.6,0.521,0.479,1.7,
,Brent Barnaky,CREW,MALE,17,14,0.571,5.6,232.5,41.6,0.477,0.522,-1.9,
,Jenna Schroeder,CREW,FEMALE,7,14,0.714,4.4,241.5,44.5,0.507,0.493,0.6,
,Robert Hussey,CREW,MALE,5,13,0.769,6.0,230.9,40.1,0.457,0.543,-3.5,
,Che Flores,CREW,FEMALE,5,14,0.357,-5.4,231.0,43.0,0.515,0.485,1.3,
,JD Ralls,CREW,MALE,3,14,0.643,6.214,228.4,39.929,0.524,0.476,1.9,
,Zach Zarba,CHIEF,MALE,23,15,0.533,1.2,229.9,45.0,0.467,0.533,-3.0,
,Evan Scott,CREW,MALE,8,13,0.462,-0.5,230.1,41.1,0.481,0.518,-1.5,
,Mitchell Ervin,CREW,MALE,12,14,0.643,5.6,233.6,41.5,0.482,0.518,-1.5,
,Pat O'Connell,CREW,MALE,4,14,0.643,5.9,237.2,42.1,0.501,0.501,0.0,
,Dannica Baroody,CREW,FEMALE,1,13,0.692,1.0,235.8,39.846,0.519,0.481,1.5,
,Biniam Maru,CREW,MALE,3,14,0.357,-3.429,231.4,43.214,0.496,0.504,-0.4,
,John Conley,CREW,MALE,7,13,0.692,4.8,234.6,42.2,0.479,0.521,-1.8,
,Simone Jelks,CREW,FEMALE,7,13,0.462,-1.5,234.9,44.6,0.485,0.516,-1.4,
,Matt Kallio,CREW,MALE,5,13,0.615,6.8,228.5,41.6,0.514,0.486,1.2,
,Tyler Ricks,CREW,MALE,5,13,0.692,1.3,223.5,38.5,0.488,0.511,-0.9,
,CJ Washington,CREW,MALE,12,12,0.5,1.7,238.3,45.3,0.5,0.5,0.0,
,Marat Kogut,CHIEF,MALE,17,12,0.417,0.3,235.5,41.2,0.479,0.52,-1.7,
,Brandon Adair,CREW,MALE,9,12,0.667,5.0,234.2,42.9,0.503,0.497,0.3,
,J.T. Orr,CREW,MALE,17,12,0.417,3.0,222.3,40.3,0.498,0.5,-0.1,
,Sha'Rae Mitchell,CREW,FEMALE,4,11,0.636,4.0,228.9,41.3,0.522,0.478,1.8,
,James Williams,CREW,MALE,17,11,0.727,4.4,234.5,41.0,0.477,0.523,-1.9,
,Josh Tiven,CHIEF,MALE,17,11,0.545,0.7,228.2,42.4,0.491,0.508,-0.7,
,Kevin Cutler,CREW,MALE,17,12,0.333,-1.3,235.5,46.0,0.509,0.491,0.8,
,Jenna Reneau,CREW,MALE,5,12,0.417,0.4,237.8,41.0,0.482,0.518,-1.5,
,Brett Nansel,CREW,MALE,12,10,0.5,0.0,229.6,39.5,0.489,0.511,-0.9,
,Tre Maddox,CHIEF,MALE,16,10,0.8,7.2,232.2,42.0,0.519,0.481,1.6,
,Josh Tiven,CREW,MALE,17,10,0.7,5.1,228.5,39.5,0.527,0.473,2.1,
,Michael Smith,CHIEF,MALE,33,9,0.889,7.4,245.7,46.8,0.51,0.489,1.0,
,Kevin Cutler,CHIEF,MALE,17,10,0.5,4.7,226.9,38.3,0.551,0.449,3.9,
,Bill Kennedy,CHIEF,MALE,31,9,0.667,0.8,237.4,44.0,0.513,0.487,1.1,
,Leon Wood,CHIEF,MALE,31,10,0.3,-1.9,235.5,41.4,0.498,0.502,-0.2,
,Derrick Collins,CHIEF,MALE,27,9,0.444,-2.0,230.2,43.3,0.511,0.49,0.9,
,Tre Maddox,CREW,MALE,16,9,0.556,3.4,245.2,39.8,0.536,0.463,2.9,
,James Williams,CHIEF,MALE,17,9,0.889,13.9,237.2,40.2,0.533,0.467,2.7,
,Curtis Blair,CHIEF,MALE,18,9,0.778,11.6,231.8,39.9,0.454,0.546,-3.7,
,Brian Forte,CHIEF,MALE,20,8,0.5,4.4,229.1,41.3,0.502,0.496,0.3,
,Karl Lane,CREW,MALE,16,9,0.444,-0.4,227.1,41.8,0.529,0.47,2.4,
,Marat Kogut,CREW,MALE,17,7,0.714,-0.9,228.3,44.4,0.483,0.518,-1.6,
,Brent Haskill,CREW,MALE,4,7,0.286,0.6,233.4,41.6,0.464,0.536,-3.0,
,Mitchell Ervin,CHIEF,MALE,12,6,0.667,4.8,229.2,44.8,0.532,0.469,2.8,
,Brent Barnaky,CHIEF,MALE,17,6,0.5,2.0,226.0,41.0,0.512,0.488,1.0,
,Eric Dalen,CHIEF,MALE,18,7,0.571,5.1,223.1,40.6,0.475,0.524,-2.0,
,Curtis Blair,CREW,MALE,18,5,1.0,7.8,239.8,46.8,0.521,0.479,2.0,
,Karl Lane,CHIEF,MALE,16,5,0.6,4.4,226.8,37.6,0.489,0.511,-0.8,
,Brian Forte,CREW,MALE,20,6,0.167,-8.0,232.0,42.2,0.541,0.458,3.5,
,Nate Cearley,CREW,MALE,1,5,0.6,-2.0,234.0,44.4,0.514,0.486,1.2,
,Kevin Scott,CHIEF,MALE,16,5,0.6,-1.6,232.8,39.8,0.508,0.492,0.6,
,Justin Van Duyne,CHIEF,MALE,13,5,0.4,-1.2,235.2,40.8,0.51,0.49,0.8,
,Ed Malloy,CHIEF,MALE,24,4,0.5,0.3,228.3,45.0,0.478,0.522,-2.0,
,Tyler Ford,CHIEF,MALE,12,5,0.6,7.0,231.0,37.4,0.439,0.561,-4.6,
,Scott Twardoski,CHIEF,MALE,17,5,0.8,11.4,233.8,42.2,0.536,0.464,3.0,
,David Guthrie,CREW,MALE,21,4,0.75,6.5,231.5,46.3,0.524,0.475,2.3,
,John Goble,CREW,MALE,19,4,1.0,14.3,238.8,38.5,0.487,0.513,-1.0,
,Sean Wright,CREW,MALE,21,4,0.5,-1.8,232.3,42.0,0.476,0.524,-2.0,
,Gediminas Petraitis,CHIEF,MALE,12,5,1.0,15.4,235.4,35.2,0.517,0.483,1.2,
,Mark Lindsay,CREW,MALE,19,5,1.0,9.6,238.8,49.4,0.466,0.534,-3.4,
,Bill Kennedy,CREW,MALE,31,5,0.2,-7.6,232.8,37.2,0.511,0.489,0.8,
,Gina Catanzariti,CREW,FEMALE,1,3,1.0,21.0,227.0,39.333,0.458,0.542,-3.3,
,Rodney Mott,CREW,MALE,31,3,0.333,-1.0,231.0,44.7,0.485,0.515,-1.3,
,Leon Wood,CREW,MALE,31,3,0.333,-4.0,214.7,43.7,0.465,0.534,-3.0,
,Courtney Kirkland,CREW,MALE,27,3,0.333,-11.3,234.0,40.7,0.491,0.508,-0.7,
,Brett Nansel,CHIEF,MALE,12,2,0.5,14.5,223.5,39.0,0.513,0.487,1.0,
,Agon Abazi,CREW,MALE,2,2,1.0,14.0,237.0,41.0,0.537,0.463,3.0,
,Chelisa Painter,CREW,FEMALE,1,2,0.0,-20.0,217.0,39.5,0.418,0.582,-6.5,
,J.T. Orr,CHIEF,MALE,17,3,0.333,-10.0,247.3,45.3,0.471,0.53,-2.7,
,Michael Smith,CREW,MALE,33,3,0.333,0.7,230.7,48.3,0.49,0.511,-1.0,
,Nick Buchert,CHIEF,MALE,17,2,0.0,-10.0,231.0,39.5,0.506,0.494,0.5,
,Derrick Collins,CREW,MALE,27,2,0.0,-16.0,255.0,47.5,0.547,0.453,4.5,
,Klajdi Mulla,CREW,MALE,1,2,0.5,-0.5,237.5,37.0,0.432,0.568,-5.0,
,David Guthrie,CHIEF,MALE,21,2,0.5,-7.5,233.5,34.5,0.536,0.464,2.5,
,Scott Foster,CREW,MALE,32,2,0.5,-0.5,272.5,48.0,0.479,0.521,-2.0,
,Rodney Mott,CHIEF,MALE,31,3,0.333,-12.3,224.3,41.3,0.517,0.484,1.3,
,Intae Hwang,CREW,MALE,4,1,0.0,-9.0,237.0,43.0,0.465,0.535,-3.0,
,Zach Zarba,CREW,MALE,23,1,0.0,-1.0,239.0,39.0,0.385,0.615,-9.0,
,JB DeRosa,CREW,MALE,9,1,1.0,7.0,203.0,35.0,0.543,0.457,3.0,
,Sean Corbin,CREW,MALE,33,1,1.0,24.0,256.0,40.0,0.45,0.55,-4.0,
,Marc Davis,CREW,MALE,27,1,0.0,-3.0,219.0,43.0,0.488,0.512,-1.0,
,CJ Washington,CHIEF,MALE,12,1,1.0,5.0,245.0,39.0,0.59,0.41,7.0,
,Pat Fraher,CREW,MALE,31,1,0.0,-10.0,216.0,34.0,0.559,0.441,4.0,
,Ashley Moyer-Gleich,CREW,FEMALE,8,2,0.5,0.0,246.0,34.0,0.382,0.618,-8.0,
