RANK,TEAMS,TOTAL GAMES,5-IN-7,3IN4-B2B,SOFT-B2B,ALL B2B,TOTAL B2B ON THE ROAD,TOTAL B2B AT HOME,3IN4,1-DAY REST,2-DAYS REST,3+DAYS REST,REST ADVANTAGE,REST DISADVANTAGE,BOTH TEAMS  RESTED or NO-REST
,Atlanta Hawks,80,2,7,4,13,4,9,11,42,11,3,9,9,62
,Boston Celtics,80,3,8,2,13,8,5,12,43,7,5,9,9,62
,Brooklyn Nets,80,1,9,4,14,9,5,13,41,6,6,10,11,59
,Charlotte Hornets,80,2,9,5,16,8,8,12,34,15,3,5,8,67
,Chicago Bulls,80,2,6,5,13,5,8,11,43,7,6,9,5,66
,Cleveland Cavaliers,80,3,5,6,14,8,6,12,41,8,5,10,4,66
,Dallas Mavericks,80,1,11,2,14,7,7,12,40,10,4,11,7,62
,Denver Nuggets,80,2,9,5,16,10,6,10,38,12,4,8,12,60
,Detroit Pistons,80,2,10,2,14,5,9,9,45,7,5,12,10,58
,Golden State Warriors,80,2,9,4,15,10,5,10,38,13,4,11,13,56
,Houston Rockets,80,2,9,3,14,7,7,11,40,11,4,7,8,65
,Indiana Pacers,80,1,9,3,13,6,7,8,44,12,3,6,8,66
,Los Angeles Clippers,80,2,8,5,15,10,5,12,37,12,4,12,10,58
,Los Angeles Lakers,80,2,9,3,14,5,9,12,39,11,4,8,9,63
,Memphis Grizzlies,80,1,12,1,14,7,7,10,41,11,4,4,6,70
,Miami Heat,80,2,9,4,15,7,8,12,38,12,3,8,11,61
,Milwaukee Bucks,80,2,9,3,14,6,8,10,42,10,4,9,7,64
,Minnesota Timberwolves,80,1,6,6,13,6,7,11,41,11,4,8,11,61
,New Orleans Pelicans,80,2,8,5,15,9,6,12,37,12,4,9,11,60
,New York Knicks,80,1,9,4,14,6,8,13,38,11,4,8,10,62
,Oklahoma City Thunder,80,0,11,2,13,7,6,7,43,14,3,9,10,61
,Orlando Magic,80,3,9,2,14,7,7,12,40,9,5,10,9,61
,Philadelphia 76ers,80,1,11,4,16,8,8,11,36,14,3,14,11,55
,Phoenix Suns,80,2,11,3,16,7,9,12,37,9,6,7,11,62
,Portland Trail Blazers,80,3,9,3,15,9,6,9,42,8,6,10,8,62
,Sacramento Kings,80,1,10,3,14,7,7,10,40,12,4,14,10,56
,San Antonio Spurs,80,0,9,5,14,8,6,8,40,15,3,12,11,57
,Toronto Raptors,80,1,11,3,15,8,7,12,36,14,3,9,9,62
,Utah Jazz,80,1,9,5,15,7,8,10,39,12,4,11,11,58
,Washington Wizards,80,2,10,4,16,8,8,13,34,13,4,12,12,56
