GAME_DATE,MATCHUP,MIN,PTS,REB,AST,FG_PCT,FG3_PCT,FT_PCT
"Dec 15, 2025",DEN vs. HOU,42,39,15,10,0.481,0.556,0.727
"Dec 11, 2025",DEN @ SAC,29,36,12,8,0.875,1.0,0.75
"Dec 07, 2025",DEN @ CHA,35,28,9,11,0.688,0.5,0.667
"Dec 05, 2025",DEN @ ATL,36,40,9,8,0.5,0.125,0.867
"Dec 03, 2025",DEN @ IND,35,24,8,13,0.529,0.25,1.0
"Dec 01, 2025",DEN vs. DAL,37,29,20,13,0.417,0.3,0.857
"Nov 29, 2025",DEN @ PHX,31,26,9,10,1.0,1.0,0.909
"Nov 28, 2025",DEN vs. SAS,36,21,9,10,0.7,1.0,0.75
"Nov 24, 2025",DEN @ MEM,34,17,10,16,0.556,0.75,0.8
"Nov 22, 2025",DEN vs. SAC,37,44,13,7,0.571,0.5,0.9
"Nov 21, 2025",DEN @ HOU,39,34,10,9,0.55,0.5,0.8
"Nov 19, 2025",DEN @ NOP,34,28,11,12,0.556,0.5,0.857
"Nov 17, 2025",DEN vs. CHI,39,36,18,13,0.481,0.143,0.75
"Nov 15, 2025",DEN @ MIN,37,27,12,11,0.533,0.5,1.0
"Nov 12, 2025",DEN @ LAC,34,55,12,6,0.783,0.833,0.875
"Nov 11, 2025",DEN @ SAC,33,35,15,7,0.842,0.5,0.667
"Nov 08, 2025",DEN vs. IND,32,32,14,14,0.714,1.0,0.917
"Nov 07, 2025",DEN vs. GSW,28,26,9,9,0.8,0.667,0.0
"Nov 05, 2025",DEN vs. MIA,37,33,15,16,0.667,0.4,0.875
"Nov 03, 2025",DEN vs. SAC,36,34,7,14,0.636,0.4,0.667
"Oct 31, 2025",DEN @ POR,37,21,14,9,0.7,0.667,0.714
"Oct 29, 2025",DEN vs. NOP,28,21,12,10,0.667,0.5,0.0
"Oct 27, 2025",DEN @ MIN,36,25,19,10,0.9,0.0,1.0
"Oct 25, 2025",DEN vs. PHX,32,14,14,15,0.625,0.0,1.0
"Oct 23, 2025",DEN @ GSW,41,21,13,10,0.348,0.154,0.75
