rank,feature,importance
1,diff_elo,0.602003359432781
2,diff_roll_w10_avg_score_diff,0.056572511918827395
3,home_elo_before,0.023818944668248576
4,away_roll_w5_avg_score_diff,0.019449841423587418
5,home_roll_w10_avg_score_diff,0.017161402156917166
6,diff_roll_w5_avg_score_diff,0.016251253756933946
7,away_roll_w10_avg_points_for,0.014016145668806069
8,away_elo_before,0.012082792290466379
9,diff_roll_w5_avg_points_against,0.010824556956954215
10,home_roll_w10_avg_points_for,0.010356756538993046
11,gameId,0.009855782300849433
12,home_roll_w5_avg_points_for,0.0095898469819851
13,diff_rest_B2B_AED,0.009056180611408922
14,diff_rest_3IN4_B2B_AED,0.008140957413571752
15,home_roll_w5_avg_points_against,0.007763514140621829
16,diff_roll_w10_avg_points_against,0.007323001640034707
17,diff_team_dEFF,0.006557632958933425
18,away_roll_w5_avg_points_for,0.006446113499575148
19,month,0.005518012095459492
20,diff_roll_w5_avg_points_for,0.005284409756874571
